alert,alert_source,doi
EventCountDecreasingError,mendeley,10.1371/journal.pone.0025110
EventCountDecreasingError,pmceuropedata,10.1371/journal.pone.0069098
EventCountDecreasingError,mendeley,10.1371/journal.pone.0017138
EventCountDecreasingError,mendeley,10.1371/journal.pbio.1001082
EventCountDecreasingError,pmceuropedata,10.1371/journal.pone.0021261
EventCountDecreasingError,mendeley,10.1371/journal.pone.0063206
EventCountDecreasingError,pmceuropedata,10.1371/journal.pone.0055720
EventCountDecreasingError,mendeley,10.1371/journal.pone.0013526
EventCountDecreasingError,pmceuropedata,10.1371/journal.pone.0062014
EventCountDecreasingError,mendeley,10.1371/journal.pgen.1000180
EventCountDecreasingError,mendeley,10.1371/journal.pone.0000603
EventCountDecreasingError,mendeley,10.1371/journal.pone.0050612
EventCountDecreasingError,pmceuropedata,10.1371/journal.pone.0063012
EventCountDecreasingError,mendeley,10.1371/journal.pgen.0020169
EventCountDecreasingError,pmceuropedata,10.1371/journal.ppat.1003338
EventCountDecreasingError,mendeley,10.1371/journal.pone.0020100
EventCountDecreasingError,mendeley,10.1371/journal.pcbi.1002173
EventCountDecreasingError,mendeley,10.1371/journal.pmed.1000096
EventCountDecreasingError,mendeley,10.1371/journal.pone.0025118
EventCountDecreasingError,pmceuropedata,10.1371/journal.pone.0065609
